Wall time,Step,Value
1731667033.4043589,1920,15994.0
1731667033.418619,2112,15724.0
1731667033.435308,2376,15733.0
1731667033.4958,3456,16340.0
1731667033.5234292,3912,16359.0
1731667033.545738,4344,16615.0
1731667033.6179001,5760,17266.0
1731667033.621602,5784,17147.0
1731667033.6754172,6816,17427.0
1731667033.721065,7680,17583.0
1731667033.759757,8424,17717.0
1731667033.814506,9528,17970.0
1731667033.9769442,12696,18329.0
1731667033.989284,12912,18315.0
1731667034.11034,15360,18594.0
1731667034.338059,19992,18972.0
1731667034.341239,20016,18937.0
1731667034.345649,20064,18903.0
1731667034.465905,22536,19072.0
1731667034.48507,22896,19067.0
1731667034.5763469,24720,19132.0
1731667034.656257,26424,19260.0
1731667034.666604,26592,19237.0
1731667034.759753,28536,19340.0
1731667034.798698,29256,19318.0
1731667034.806816,29376,19294.0
1731667034.875365,30840,19383.0
1731667035.07179,34920,19535.0
1731667035.123936,35952,19543.0
1731667035.161632,36696,19546.0
1731667035.6480708,46824,19809.0
1731667035.725922,48432,19836.0
1731667035.735266,48576,19819.0
1731667035.828877,50448,19825.0
1731667035.868348,51216,19820.0
1731667035.898428,51816,19821.0
1731667035.973686,53304,19820.0
1731667035.986162,53520,19808.0
1731667035.993966,53640,19795.0
1731667036.0945332,55680,19813.0
1731667036.118657,56160,19813.0
1731667036.140907,56616,19819.0
1731667036.2081249,57888,19798.0
1731667036.2134762,57960,19787.0
1731667036.230745,58296,19785.0
1731667036.3229911,60168,19800.0
1731667036.331706,60288,19783.0
1731667036.336591,60336,19767.0
1731667036.396683,61344,19709.0
1731667036.4481258,62376,19715.0
1731667036.492929,63240,19709.0
1731667036.551253,64416,19717.0
1731667036.6155121,65664,19711.0
1731667036.621331,65736,19698.0
1731667036.7518861,68328,19704.0
1731667036.8172941,69624,19706.0
1731667036.980795,73104,19776.0
1731667037.1932008,77520,19831.0
1731667037.263996,78960,19840.0
1731667037.426239,82440,19903.0
1731667037.790998,90240,20023.0
1731667037.879922,92088,20038.0
1731667037.8854551,92160,20029.0
1731667037.961565,93744,20042.0
1731667038.06924,96048,20073.0
1731667038.101054,96696,20074.0
1731667038.1768,98160,20063.0
1731667038.240057,99528,20083.0
1731667038.2648408,100008,20079.0
1731667038.874681,102144,18271.0
1731667039.038778,102720,17850.0
1731667039.1006458,102936,17697.0
1731667039.2685199,103512,17297.0
1731667039.3912032,103944,17020.0
1731667039.575008,104592,16626.0
1731667039.6624799,104880,16443.0
1731667039.685744,104952,16395.0
1731667039.693374,104976,16379.0
1731667040.0613241,106200,15670.0
1731667040.08339,106272,15630.0
1731667040.190681,106632,15439.0
1731667040.334594,107136,15195.0
1731667040.508665,107736,14912.0
1731667040.757365,108624,14535.0
1731667040.886865,109080,14347.0
1731667040.9312031,109224,14283.0
1731667041.104768,109848,14046.0
1731667041.252933,110352,13848.0
1731667041.4433842,111000,13604.0
1731667041.5286021,111312,13501.0
1731667041.709229,111936,13286.0
1731667041.792911,112224,13189.0
1731667041.822099,112320,13155.0
1731667042.129104,113424,12823.0
1731667042.22106,113736,12726.0
1731667042.315552,114072,12630.0
1731667042.406423,114384,12539.0
1731667042.5014532,114720,12446.0
1731667043.575275,118584,11523.0
1731667048.1695712,135360,9093.0
1731667048.777796,137568,8879.0
1731667049.4302568,139848,8661.0
