Wall time,Step,Value
1731579323.9714339,4008,6524.0
1731579324.4714031,7848,7043.0
1731579325.22482,13728,7350.0
1731579325.36447,14832,7388.0
1731579326.668086,24888,7516.0
1731579326.94528,26904,7498.0
1731579327.218029,28968,7502.0
1731579327.292772,29520,7500.0
1731579327.410165,30360,7490.0
1731579327.7651231,32808,7442.0
1731579328.927283,41256,7406.0
1731579329.408442,44760,7396.0
1731579330.0011468,49104,7390.0
1731579330.8231091,55392,7419.0
1731579331.112609,57600,7427.0
1731579331.222207,58416,7427.0
1731579331.411454,59784,7422.0
1731579331.941698,63864,7439.0
1731579332.1452138,65400,7441.0
1731579332.539365,68376,7446.0
1731579332.8075361,70248,7433.0
1731579332.865013,70680,7433.0
1731579332.994035,71664,7436.0
1731579333.2360299,73512,7441.0
1731579334.4247081,82776,7479.0
1731579334.5822232,84024,7485.0
1731579334.691058,84840,7485.0
1731579334.8422558,86040,7491.0
1731579334.887275,86376,7491.0
1731579335.4690838,91152,7525.0
1731579335.5373492,91680,7526.0
1731579335.596145,92136,7528.0
1731579335.684674,92808,7528.0
1731579336.5907478,99696,7533.0
1731579338.1525838,103896,7022.0
1731579338.468997,104712,6929.0
1731579338.743714,105456,6853.0
1731579339.63556,107784,6621.0
1731579341.117194,111672,6287.0
1731579341.637973,112992,6180.0
1731579341.6961658,113136,6169.0
1731579343.084199,116736,5917.0
1731579343.7668731,118416,5801.0
1731579344.30803,119832,5719.0
1731579345.4314501,122736,5560.0
1731579345.5482082,123024,5543.0
1731579345.695615,123360,5522.0
1731579346.146157,124464,5461.0
1731579346.253367,124728,5447.0
1731579356.132215,150888,4603.0
1731579356.326045,151368,4591.0
1731579356.8056781,152568,4561.0
1731579356.906361,152832,4555.0
1731579357.073375,153264,4545.0
1731579358.286962,156264,4473.0
1731579359.361471,158976,4415.0
1731579360.670602,162288,4349.0
1731579360.778327,162552,4343.0
1731579361.623106,164736,4305.0
1731579366.9275289,178992,4108.0
1731579369.0697541,184944,4045.0
1731579371.2892642,191136,3987.0
1731579371.365419,191328,3985.0
1731579375.110718,201648,3896.0
1731579378.8097239,211368,3811.0
1731579379.0276859,211896,3806.0
1731579379.0687308,211992,3805.0
1731579379.6499991,213504,3792.0
1731579380.4654841,215664,3776.0
1731579380.955352,216912,3765.0
1731579381.211898,217584,3760.0
1731579381.340825,217896,3757.0
1731579381.748085,218904,3748.0
1731579381.773679,218952,3748.0
1731579382.809827,221616,3727.0
1731579385.007639,227448,3689.0
1731579385.981139,230040,3673.0
1731579386.479263,231408,3666.0
1731579387.744205,234912,3648.0
1731579392.130931,243096,3534.0
1731579393.287731,246192,3520.0
1731579393.511292,246816,3518.0
1731579393.96119,248064,3513.0
1731579394.2866821,248976,3510.0
1731579394.893263,250656,3503.0
1731579395.4719622,252264,3498.0
1731579395.5456798,252456,3497.0
1731579395.6520278,252744,3496.0
1731579396.437099,254952,3488.0
1731579398.347741,260352,3471.0
1731579399.209573,262800,3464.0
1731579400.417876,266184,3454.0
1731579401.502509,269232,3445.0
1731579401.5321019,269304,3444.0
1731579401.820247,270120,3442.0
1731579402.278552,271416,3439.0
1731579402.7255008,272688,3435.0
1731579404.813038,278616,3420.0
1731579405.113451,279456,3418.0
1731579406.556743,283560,3408.0
1731579408.497787,289104,3395.0
1731579410.229077,293976,3384.0
1731579410.994071,296160,3379.0
1731579413.929914,304680,3363.0
1731579414.8742442,307272,3357.0
1731579415.485614,309000,3354.0
1731579416.762151,312648,3347.0
1731579416.771747,312672,3347.0
1731579417.036719,313440,3345.0
1731579418.087075,316440,3340.0
1731579418.1737878,316680,3339.0
1731579418.2005,316752,3339.0
1731579419.147197,319416,3334.0
1731579419.658338,320880,3332.0
1731579420.37533,322944,3328.0
1731579420.974856,324648,3325.0
1731579422.182249,328128,3320.0
1731579422.585006,329304,3318.0
1731579422.7860029,329904,3317.0
1731579423.378624,331656,3315.0
1731579423.629048,332376,3314.0
1731579424.574378,335016,3309.0
1731579424.711485,335400,3309.0
1731579424.80186,335664,3308.0
1731579425.761017,338424,3304.0
1731579425.8387818,338640,3304.0
1731579426.781475,341376,3300.0
1731579428.727476,346920,3292.0
1731579429.0668852,347904,3291.0
1731579429.639919,349536,3288.0
1731579430.037448,350664,3287.0
1731579430.1793559,351048,3286.0
1731579430.385611,351624,3285.0
1731579431.807096,355632,3279.0
1731579432.02799,356256,3278.0
1731579433.246347,359472,3271.0
1731579434.414159,362808,3266.0
1731579435.683108,366480,3262.0
1731579438.309699,373680,3250.0
1731579439.651807,377424,3245.0
1731579439.976707,378312,3243.0
1731579441.761499,383304,3237.0
1731579442.4709928,385224,3234.0
1731579442.5770729,385464,3233.0
1731579443.279944,387408,3230.0
1731579443.369589,387648,3230.0
1731579446.2952478,395904,3220.0
1731579447.8199549,400224,3215.0
1731579448.635264,402504,3212.0
1731579450.048809,406488,3208.0
1731579450.577763,407976,3206.0
1731579451.308033,409656,3201.0
1731579454.4697,418368,3190.0
1731579456.325789,423552,3185.0
1731579461.120729,437088,3172.0
1731579461.133495,437112,3172.0
1731579464.1081548,445368,3164.0
1731579464.6555321,446904,3162.0
1731579465.752843,449976,3160.0
1731579468.766273,458448,3152.0
1731579470.975328,464592,3147.0
1731579476.0904162,478536,3133.0
1731579476.256614,478992,3132.0
1731579476.55438,479808,3131.0
1731579476.5848,479880,3131.0
1731579483.458498,486000,3035.0
1731579487.563544,497352,3028.0
1731579492.028069,509640,3021.0
1731579492.324833,510384,3020.0
1731579492.355707,510456,3020.0
1731579492.7894258,511632,3019.0
1731579493.044849,512304,3019.0
1731579493.225442,512784,3018.0
1731579494.131042,515184,3016.0
1731579494.2663958,515520,3016.0
1731579495.224763,518016,3014.0
1731579495.317865,518256,3013.0
1731579496.405316,521064,3011.0
1731579498.3009222,525888,3006.0
1731579499.0275788,527784,3004.0
1731579499.1617038,528144,3004.0
1731579500.207204,530976,3002.0
1731579501.342832,534096,3000.0
1731579502.396439,536928,2998.0
1731579507.650581,551544,2992.0
1731579508.5842,554064,2991.0
1731579508.642047,554208,2991.0
1731579508.777269,554568,2990.0
1731579509.179344,555648,2990.0
1731579509.607285,556800,2989.0
1731579509.863441,557472,2989.0
1731579510.13079,558144,2988.0
1731579510.876897,560112,2986.0
1731579512.298236,563976,2984.0
1731579514.7602592,570624,2981.0
1731579514.883471,570936,2980.0
1731579515.0174139,571296,2980.0
1731579515.15403,571656,2980.0
1731579515.706919,573096,2979.0
1731579515.932031,573696,2979.0
1731579516.1879308,574272,2978.0
1731579516.422404,574872,2977.0
1731579516.6116831,575376,2977.0
1731579516.8752189,576072,2976.0
1731579518.545682,580368,2973.0
1731579518.703697,580776,2973.0
1731579518.7577448,580920,2972.0
1731579518.789738,580992,2972.0
1731579520.866198,586272,2968.0
1731579521.83657,588816,2966.0
1731579524.730732,596424,2961.0
1731579529.031359,608088,2956.0
1731579529.9584398,610584,2955.0
1731579530.243478,611304,2954.0
1731579532.575219,617472,2951.0
1731579534.9135869,623712,2948.0
1731579535.035425,624048,2948.0
1731579537.3091898,630216,2945.0
1731579538.299695,632856,2944.0
1731579538.438473,633216,2944.0
1731579539.217769,635304,2943.0
1731579539.550532,636144,2942.0
1731579539.882977,637008,2941.0
1731579540.161299,637728,2941.0
1731579540.387748,638280,2940.0
1731579540.465379,638472,2940.0
1731579542.077656,642648,2938.0
1731579542.160256,642864,2938.0
1731579542.858807,644616,2936.0
1731579543.331315,645816,2935.0
1731579543.7273338,646848,2935.0
1731579544.206723,648072,2934.0
1731579546.979157,655392,2930.0
1731579547.610751,657048,2929.0
1731579547.995557,658080,2929.0
1731579548.778752,660120,2928.0
1731579550.273404,663960,2926.0
1731579552.220345,669120,2923.0
1731579552.325887,669384,2923.0
1731579553.202539,671736,2922.0
1731579554.8741739,676152,2920.0
1731579560.836168,692280,2915.0
1731579563.0161269,698160,2913.0
1731579565.014158,703416,2910.0
1731579565.6912398,705192,2909.0
1731579566.281396,706704,2909.0
1731579566.907795,708336,2908.0
1731579567.034534,708672,2908.0
1731579568.0110998,711264,2907.0
1731579568.920235,713688,2906.0
1731579568.9488041,713760,2906.0
1731579576.778246,725256,2861.0
1731579579.344984,732000,2859.0
1731579580.831867,735816,2857.0
1731579585.358284,747912,2854.0
1731579587.356756,753408,2853.0
1731579588.806134,757080,2852.0
1731579589.0292091,757656,2851.0
1731579595.8029308,775824,2847.0
1731579597.267515,779760,2846.0
1731579597.902881,781560,2846.0
1731579598.461608,783120,2846.0
1731579598.654156,783648,2846.0
1731579598.816959,784080,2846.0
1731579600.508928,788712,2845.0
1731579600.518968,788736,2845.0
1731579602.016654,792936,2845.0
1731579602.362425,793800,2845.0
1731579602.676138,794568,2844.0
1731579603.2936819,796008,2843.0
1731579604.26355,798240,2841.0
1731579604.527783,798960,2841.0
1731579605.6152692,801888,2840.0
1731579605.988554,802896,2840.0
1731579609.4401011,812448,2839.0
1731579612.1454878,819888,2839.0
1731579613.186153,822456,2837.0
1731579613.995214,824688,2837.0
1731579615.6716611,829176,2836.0
1731579618.913899,837984,2835.0
1731579620.324075,841848,2834.0
1731579620.778443,843120,2834.0
1731579627.629741,862536,2834.0
1731579630.6096268,870816,2834.0
1731579634.031623,880128,2832.0
1731579634.180893,880536,2832.0
1731579635.501836,884208,2832.0
1731579635.894696,885312,2832.0
1731579636.2055979,886176,2832.0
1731579639.490856,895008,2831.0
1731579646.143898,913440,2829.0
1731579647.2442722,916512,2829.0
1731579647.274842,916584,2829.0
1731579647.802049,918048,2829.0
1731579647.975483,918528,2829.0
1731579648.206235,919104,2829.0
1731579649.6608891,923112,2828.0
1731579650.71547,926064,2828.0
1731579652.201868,930096,2828.0
1731579652.563401,931080,2828.0
1731579654.870045,937296,2827.0
1731579657.816718,945528,2827.0
1731579659.562176,950472,2827.0
1731579668.368566,962064,2788.0
1731579671.2175648,970296,2789.0
1731579671.2438889,970368,2789.0
1731579676.806129,986424,2790.0
1731579677.657683,988488,2789.0
1731579678.907116,992040,2790.0
1731579680.1268501,995496,2790.0
1731579680.653922,996984,2790.0
1731579682.457076,1002120,2790.0
1731579687.470154,1016208,2790.0
1731579690.0425239,1023408,2790.0
1731579691.838167,1028544,2791.0
1731579693.7750669,1033944,2791.0
1731579697.501562,1044384,2791.0
1731579698.791494,1048008,2791.0
1731579699.467773,1049904,2791.0
1731579699.978904,1051344,2791.0
1731579701.424327,1055448,2791.0
1731579703.134165,1060368,2792.0
1731579703.643296,1061832,2792.0
1731579706.863709,1070976,2792.0
1731579708.357331,1075296,2792.0
1731579711.323722,1083720,2793.0
1731579712.9295008,1088256,2793.0
1731579715.9324422,1096680,2793.0
1731579716.189316,1097400,2793.0
1731579716.327373,1097784,2793.0
1731579720.4452438,1109328,2793.0
1731579720.850214,1110432,2793.0
1731579722.351031,1114632,2793.0
1731579723.267106,1117152,2793.0
1731579725.760098,1124088,2793.0
1731579730.045949,1136160,2793.0
1731579731.932228,1141440,2793.0
1731579734.63518,1149024,2793.0
1731579735.280183,1150776,2793.0
1731579736.966399,1155480,2793.0
1731579737.987916,1158360,2793.0
1731579741.304725,1167672,2793.0
1731579744.3790982,1176264,2793.0
1731579747.43023,1184784,2793.0
1731579748.643601,1188168,2793.0
1731579750.092212,1192200,2793.0
1731579750.838202,1194288,2793.0
1731579752.642875,1199352,2793.0
1731579763.473984,1216152,2763.0
1731579765.543472,1221864,2763.0
1731579767.142373,1226424,2763.0
1731579768.2232819,1229496,2763.0
1731579768.875471,1231320,2763.0
1731579771.333919,1238280,2764.0
1731579773.591011,1244664,2764.0
1731579775.102613,1248960,2764.0
1731579780.016465,1262856,2765.0
1731579780.145084,1263216,2765.0
1731579781.8771698,1268016,2765.0
1731579781.9577448,1268232,2765.0
1731579784.7074602,1275864,2765.0
1731579786.228381,1280136,2765.0
1731579787.289373,1283040,2765.0
1731579788.288502,1285824,2765.0
1731579790.446817,1291848,2765.0
1731579793.0768251,1299168,2765.0
1731579793.617623,1300632,2765.0
1731579795.471273,1305744,2765.0
1731579795.572496,1306008,2765.0
1731579797.715277,1311912,2765.0
1731579800.476683,1319616,2765.0
1731579803.338434,1327440,2765.0
1731579810.509964,1347432,2765.0
1731579811.022013,1348896,2766.0
1731579812.9097369,1354224,2766.0
1731579813.254358,1355184,2766.0
1731579813.596102,1356120,2766.0
1731579815.3103611,1360872,2766.0
1731579815.8222651,1362312,2766.0
1731579819.3985338,1372176,2766.0
1731579820.749131,1375992,2766.0
1731579820.929962,1376496,2766.0
1731579823.0871801,1382544,2766.0
1731579824.266198,1385808,2766.0
1731579824.266614,1385808,2766.0
1731579824.8011048,1387296,2766.0
1731579829.5572858,1400496,2766.0
1731579834.4086232,1413864,2766.0
1731579834.489463,1414080,2766.0
1731579838.2795122,1424472,2766.0
1731579854.180866,1454088,2739.0
1731579857.147275,1462296,2739.0
1731579865.729675,1486032,2739.0
1731579866.176408,1487256,2739.0
1731579867.4737852,1490808,2739.0
1731579869.358021,1496040,2739.0
1731579869.7844522,1497216,2740.0
1731579869.91816,1497576,2739.0
1731579874.5880132,1510464,2740.0
1731579874.9475431,1511472,2740.0
1731579875.749131,1513680,2740.0
1731579879.055305,1522776,2740.0
1731579879.45939,1523880,2740.0
1731579883.9595242,1536360,2740.0
1731579884.3976269,1537560,2740.0
1731579888.59535,1549056,2740.0
1731579888.8194308,1549656,2740.0
1731579890.8927438,1555416,2740.0
1731579890.921813,1555488,2740.0
1731579895.6532679,1568520,2740.0
1731579896.715955,1571448,2740.0
1731579897.2551749,1572960,2740.0
1731579899.4581308,1579104,2741.0
1731579900.254019,1581288,2741.0
1731579907.699483,1601832,2741.0
1731579909.198808,1605984,2741.0
1731579909.8882601,1607904,2741.0
1731579911.853413,1613376,2741.0
1731579913.915715,1619088,2741.0
1731579915.2776582,1622856,2741.0
1731579917.7658958,1629744,2741.0
1731579918.2883599,1631184,2741.0
1731579919.6217449,1634832,2741.0
1731579920.065013,1636056,2741.0
1731579920.359114,1636872,2741.0
1731579921.897315,1641144,2741.0
1731579923.503169,1645512,2741.0
1731579931.9646962,1668936,2742.0
1731579933.3971388,1672872,2742.0
1731579935.257458,1677984,2742.0
1731579942.81835,1684176,2718.0
1731579944.5106099,1688832,2718.0
1731579945.057246,1690368,2718.0
1731579947.337125,1696632,2719.0
1731579948.4793339,1699752,2719.0
1731579948.8583481,1700784,2719.0
1731579950.143848,1704384,2719.0
1731579951.219776,1707312,2719.0
1731579953.163986,1712736,2719.0
1731579961.442682,1735536,2719.0
1731579962.764647,1739160,2719.0
1731579964.646625,1744392,2720.0
1731579968.1502562,1754064,2720.0
1731579973.949418,1770048,2720.0
1731579974.308185,1771008,2720.0
1731579976.1697989,1775880,2720.0
1731579978.35963,1781808,2720.0
1731579984.062846,1796856,2719.0
1731579987.077324,1804632,2718.0
1731579990.400487,1813176,2718.0
1731579993.085401,1820304,2717.0
1731579996.828361,1830672,2718.0
1731579997.39025,1832184,2718.0
1731579998.687607,1835496,2717.0
1731579999.290617,1837008,2717.0
1731580004.82003,1851552,2717.0
1731580007.258105,1858248,2717.0
1731580012.4495418,1872528,2717.0
1731580013.7125719,1875984,2717.0
1731580014.680694,1878672,2717.0
1731580015.9075782,1882056,2717.0
1731580016.1642492,1882776,2717.0
1731580028.412679,1916232,2717.0
1731580029.150549,1918224,2717.0
1731580040.741629,1935240,2697.0
1731580044.409966,1945296,2697.0
1731580045.9230878,1949424,2697.0
1731580046.1548219,1950048,2697.0
1731580047.20528,1952928,2697.0
1731580051.226262,1963824,2698.0
1731580054.252169,1972056,2698.0
1731580055.528021,1975536,2698.0
1731580055.870931,1976472,2698.0
1731580056.099964,1977096,2698.0
1731580059.922091,1987392,2698.0
1731580060.4311109,1988784,2698.0
1731580069.7250571,2013840,2698.0
1731580071.8042629,2019480,2698.0
1731580072.716693,2022000,2698.0
1731580076.9906812,2033712,2698.0
1731580078.357843,2037456,2698.0
1731580078.569577,2038032,2698.0
1731580080.3709598,2042904,2698.0
1731580081.193135,2045160,2698.0
1731580081.348084,2045592,2698.0
1731580096.768965,2087400,2698.0
1731580099.0813508,2093640,2698.0
1731580102.47073,2102952,2699.0
1731580102.500545,2103024,2699.0
1731580104.667892,2108952,2699.0
1731580106.697588,2114496,2699.0
1731580108.802101,2120136,2699.0
1731580111.2869089,2126904,2699.0
1731580111.478325,2127432,2699.0
1731580113.0599911,2131776,2699.0
1731580113.193658,2132136,2699.0
1731580114.546227,2135832,2699.0
1731580116.668392,2141664,2699.0
1731580118.083453,2145504,2699.0
1731580120.5256908,2152152,2699.0
1731580121.4611788,2154696,2699.0
1731580123.404159,2159976,2699.0
1731580129.442521,2163144,2683.0
1731580133.034102,2172936,2683.0
1731580133.32817,2173728,2683.0
1731580135.151396,2178672,2683.0
1731580136.3821619,2182008,2683.0
1731580136.640332,2182704,2683.0
1731580146.2195299,2208696,2684.0
1731580149.4180748,2217336,2684.0
1731580152.438745,2225448,2684.0
1731580153.860685,2229312,2684.0
1731580155.547651,2233872,2684.0
1731580155.7994518,2234520,2684.0
1731580160.555448,2247384,2684.0
1731580163.651501,2255760,2684.0
1731580166.100656,2262360,2684.0
1731580169.230685,2270784,2684.0
1731580169.6104572,2271816,2684.0
